DEP,ARR,Dep Date,Best time before departure 
AMS,LGW,2018-09-07 21:15:00,British Airways,"180 days, 8:50:24"
AMS,LGW,2018-09-08 10:30:00,British Airways,"179 days, 22:38:23"
AMS,LGW,2018-09-08 14:15:00,British Airways,"180 days, 2:23:23"
AMS,LGW,2018-09-08 22:15:00,British Airways,"180 days, 10:23:23"
AMS,LGW,2018-09-09 10:30:00,British Airways,"179 days, 23:57:50"
AMS,LGW,2018-09-09 21:20:00,British Airways,"180 days, 10:47:50"
AMS,LGW,2018-09-10 10:55:00,British Airways,"179 days, 23:35:05"
AMS,LGW,2018-09-10 14:35:00,British Airways,"180 days, 3:15:05"
AMS,LGW,2018-09-10 19:30:00,British Airways,"180 days, 8:10:05"
AMS,LGW,2018-09-11 10:55:00,British Airways,"179 days, 16:42:33"
AMS,LGW,2018-09-11 13:55:00,British Airways,"179 days, 19:42:33"
AMS,LGW,2018-09-11 19:15:00,British Airways,"180 days, 1:02:33"
AMS,LGW,2018-09-12 10:55:00,British Airways,"179 days, 23:01:36"
AMS,LGW,2018-09-12 13:50:00,British Airways,"180 days, 1:56:36"
AMS,LGW,2018-09-12 19:05:00,British Airways,"180 days, 7:11:36"
AMS,LGW,2018-09-13 10:55:00,British Airways,"179 days, 22:24:46"
AMS,LGW,2018-09-13 13:50:00,British Airways,"180 days, 1:19:46"
AMS,LGW,2018-09-13 19:20:00,British Airways,"180 days, 6:49:46"
AMS,LGW,2018-09-14 10:55:00,British Airways,"177 days, 19:24:31"
AMS,LGW,2018-09-14 13:55:00,British Airways,"177 days, 22:24:31"
AMS,LGW,2018-09-14 19:15:00,British Airways,"178 days, 3:44:31"
AMS,LGW,2018-09-14 21:15:00,British Airways,"178 days, 5:44:31"
AMS,LGW,2018-09-15 10:30:00,British Airways,"178 days, 16:58:38"
AMS,LGW,2018-09-15 14:15:00,British Airways,"178 days, 20:43:38"
AMS,LGW,2018-09-15 22:15:00,British Airways,"179 days, 4:43:38"
AMS,LGW,2018-09-16 10:30:00,British Airways,"179 days, 15:53:47"
AMS,LGW,2018-09-16 21:20:00,British Airways,"180 days, 2:43:47"
AMS,LGW,2018-09-17 10:55:00,British Airways,"179 days, 17:06:31"
AMS,LGW,2018-09-17 14:35:00,British Airways,"179 days, 20:46:31"
AMS,LGW,2018-09-17 19:30:00,British Airways,"180 days, 1:41:31"
AMS,LGW,2018-09-18 10:55:00,British Airways,"179 days, 22:27:30"
AMS,LGW,2018-09-18 13:55:00,British Airways,"180 days, 1:27:30"
AMS,LGW,2018-09-18 19:15:00,British Airways,"180 days, 6:47:30"
AMS,LGW,2018-09-19 10:55:00,British Airways,"179 days, 17:26:55"
AMS,LGW,2018-09-19 13:50:00,British Airways,"179 days, 20:21:55"
AMS,LGW,2018-09-19 19:05:00,British Airways,"180 days, 1:36:55"
AMS,LGW,2018-09-20 10:55:00,British Airways,"180 days, 0:32:20"
AMS,LGW,2018-09-20 13:50:00,British Airways,"180 days, 3:27:20"
AMS,LGW,2018-09-20 19:20:00,British Airways,"180 days, 8:57:20"
AMS,LGW,2018-09-21 10:55:00,British Airways,"179 days, 22:43:16"
AMS,LGW,2018-09-21 13:55:00,British Airways,"180 days, 1:43:16"
AMS,LGW,2018-09-21 19:15:00,British Airways,"180 days, 7:03:16"
AMS,LGW,2018-09-21 21:15:00,British Airways,"180 days, 9:03:16"
AMS,LGW,2018-09-22 10:30:00,British Airways,"179 days, 18:56:12"
AMS,LGW,2018-09-22 14:15:00,British Airways,"179 days, 22:41:12"
AMS,LGW,2018-09-22 22:15:00,British Airways,"180 days, 6:41:12"
AMS,LGW,2018-09-23 10:30:00,British Airways,"179 days, 18:54:13"
AMS,LGW,2018-09-23 21:20:00,British Airways,"180 days, 5:44:13"
AMS,LGW,2018-09-24 10:55:00,British Airways,"179 days, 20:25:12"
AMS,LGW,2018-09-24 14:35:00,British Airways,"180 days, 0:05:12"
AMS,LGW,2018-09-24 19:30:00,British Airways,"180 days, 5:00:12"
AMS,LGW,2018-09-25 10:55:00,British Airways,"179 days, 16:42:53"
AMS,LGW,2018-09-25 13:55:00,British Airways,"179 days, 19:42:53"
AMS,LGW,2018-09-25 19:15:00,British Airways,"180 days, 1:02:53"
AMS,LGW,2018-09-26 10:55:00,British Airways,"179 days, 22:59:41"
AMS,LGW,2018-09-26 13:50:00,British Airways,"180 days, 1:54:41"
AMS,LGW,2018-09-26 19:05:00,British Airways,"180 days, 7:09:41"
AMS,LGW,2018-09-27 10:55:00,British Airways,"179 days, 16:23:56"
AMS,LGW,2018-09-27 13:50:00,British Airways,"179 days, 19:18:56"
AMS,LGW,2018-09-27 19:20:00,British Airways,"180 days, 0:48:56"
AMS,LGW,2018-09-28 10:55:00,British Airways,"179 days, 13:56:43"
AMS,LGW,2018-09-28 13:55:00,British Airways,"179 days, 16:56:43"
AMS,LGW,2018-09-28 19:15:00,British Airways,"179 days, 22:16:43"
AMS,LGW,2018-09-28 21:15:00,British Airways,"180 days, 0:16:43"
AMS,LGW,2018-09-29 10:30:00,British Airways,"179 days, 22:02:35"
AMS,LGW,2018-09-29 14:15:00,British Airways,"180 days, 1:47:35"
AMS,LGW,2018-09-29 22:15:00,British Airways,"180 days, 9:47:35"
AMS,LGW,2018-09-30 10:30:00,British Airways,"179 days, 14:21:00"
AMS,LGW,2018-09-30 21:20:00,British Airways,"180 days, 1:11:00"
AMS,LGW,2018-10-01 10:55:00,British Airways,"179 days, 17:04:33"
AMS,LGW,2018-10-01 14:35:00,British Airways,"179 days, 20:44:33"
AMS,LGW,2018-10-01 19:30:00,British Airways,"180 days, 1:39:33"
AMS,LGW,2018-10-02 10:55:00,British Airways,"179 days, 22:14:18"
AMS,LGW,2018-10-02 13:55:00,British Airways,"180 days, 1:14:18"
AMS,LGW,2018-10-02 19:15:00,British Airways,"180 days, 6:34:18"
AMS,LGW,2018-10-03 10:55:00,British Airways,"180 days, 0:03:53"
AMS,LGW,2018-10-03 13:50:00,British Airways,"180 days, 2:58:53"
AMS,LGW,2018-10-03 19:05:00,British Airways,"180 days, 8:13:53"
AMS,LGW,2018-10-04 10:55:00,British Airways,"179 days, 23:07:07"
AMS,LGW,2018-10-04 13:50:00,British Airways,"180 days, 2:02:07"
AMS,LGW,2018-10-04 19:20:00,British Airways,"180 days, 7:32:07"
AMS,LGW,2018-10-05 10:55:00,British Airways,"179 days, 18:20:52"
AMS,LGW,2018-10-05 13:55:00,British Airways,"179 days, 21:20:52"
AMS,LGW,2018-10-05 19:15:00,British Airways,"180 days, 2:40:52"
AMS,LGW,2018-10-05 21:15:00,British Airways,"180 days, 4:40:52"
AMS,LGW,2018-10-06 10:30:00,British Airways,"179 days, 16:32:55"
AMS,LGW,2018-10-06 14:15:00,British Airways,"179 days, 20:17:55"
AMS,LGW,2018-10-06 22:15:00,British Airways,"180 days, 4:17:55"
AMS,LGW,2018-10-07 10:30:00,British Airways,"179 days, 15:07:53"
AMS,LGW,2018-10-07 21:20:00,British Airways,"180 days, 1:57:53"
AMS,LGW,2018-10-08 10:55:00,British Airways,"180 days, 0:33:58"
AMS,LGW,2018-10-08 14:35:00,British Airways,"180 days, 4:13:58"
AMS,LGW,2018-10-08 19:30:00,British Airways,"180 days, 9:08:58"
AMS,LGW,2018-10-09 10:55:00,British Airways,"179 days, 16:44:00"
AMS,LGW,2018-10-09 13:55:00,British Airways,"179 days, 19:44:00"
AMS,LGW,2018-10-09 19:15:00,British Airways,"180 days, 1:04:00"
AMS,LGW,2018-10-10 10:55:00,British Airways,"179 days, 21:43:28"
AMS,LGW,2018-10-10 13:50:00,British Airways,"180 days, 0:38:28"
AMS,LGW,2018-10-10 19:05:00,British Airways,"180 days, 5:53:28"
AMS,LGW,2018-10-11 10:55:00,British Airways,"180 days, 1:15:00"
AMS,LGW,2018-10-11 13:50:00,British Airways,"180 days, 4:10:00"
AMS,LGW,2018-10-11 19:20:00,British Airways,"180 days, 9:40:00"
AMS,LGW,2018-10-12 10:55:00,British Airways,"179 days, 15:31:21"
AMS,LGW,2018-10-12 13:55:00,British Airways,"179 days, 18:31:21"
AMS,LGW,2018-10-12 19:15:00,British Airways,"179 days, 23:51:21"
AMS,LGW,2018-10-12 21:15:00,British Airways,"180 days, 1:51:21"
AMS,LGW,2018-10-13 10:30:00,British Airways,"179 days, 21:00:12"
AMS,LGW,2018-10-13 14:15:00,British Airways,"180 days, 0:45:12"
AMS,LGW,2018-10-13 22:15:00,British Airways,"180 days, 8:45:12"
AMS,LGW,2018-10-14 10:30:00,British Airways,"180 days, 0:43:50"
AMS,LGW,2018-10-14 21:20:00,British Airways,"180 days, 11:33:50"
AMS,LGW,2018-10-15 10:55:00,British Airways,"179 days, 19:26:43"
AMS,LGW,2018-10-15 14:35:00,British Airways,"179 days, 23:06:43"
AMS,LGW,2018-10-15 19:30:00,British Airways,"180 days, 4:01:43"
AMS,LGW,2018-10-16 10:55:00,British Airways,"179 days, 17:59:00"
AMS,LGW,2018-10-16 13:55:00,British Airways,"179 days, 20:59:00"
AMS,LGW,2018-10-16 19:15:00,British Airways,"180 days, 2:19:00"
AMS,LGW,2018-10-17 10:55:00,British Airways,"179 days, 19:54:44"
AMS,LGW,2018-10-17 13:50:00,British Airways,"179 days, 22:49:44"
AMS,LGW,2018-10-17 19:05:00,British Airways,"180 days, 4:04:44"
AMS,LGW,2018-10-18 10:55:00,British Airways,"179 days, 16:23:18"
AMS,LGW,2018-10-18 13:50:00,British Airways,"179 days, 19:18:18"
AMS,LGW,2018-10-18 19:20:00,British Airways,"180 days, 0:48:18"
AMS,LGW,2018-10-19 10:55:00,British Airways,"180 days, 1:14:08"
AMS,LGW,2018-10-19 13:55:00,British Airways,"180 days, 4:14:08"
AMS,LGW,2018-10-19 19:15:00,British Airways,"180 days, 9:34:08"
AMS,LGW,2018-10-19 21:15:00,British Airways,"180 days, 11:34:08"
AMS,LGW,2018-10-20 10:30:00,British Airways,"179 days, 18:24:02"
AMS,LGW,2018-10-20 14:15:00,British Airways,"179 days, 22:09:02"
AMS,LGW,2018-10-20 22:15:00,British Airways,"180 days, 6:09:02"
AMS,LGW,2018-10-21 10:30:00,British Airways,"176 days, 22:25:17"
AMS,LGW,2018-10-21 21:20:00,British Airways,"177 days, 9:15:17"
AMS,LGW,2018-10-22 10:55:00,British Airways,"177 days, 22:39:07"
AMS,LGW,2018-10-22 14:35:00,British Airways,"178 days, 2:19:07"
AMS,LGW,2018-10-22 19:30:00,British Airways,"178 days, 7:14:07"
AMS,LGW,2018-10-23 10:55:00,British Airways,"178 days, 18:50:58"
AMS,LGW,2018-10-23 13:55:00,British Airways,"178 days, 21:50:58"
AMS,LGW,2018-10-23 19:15:00,British Airways,"179 days, 3:10:58"
AMS,LGW,2018-10-24 10:55:00,British Airways,"179 days, 15:47:38"
AMS,LGW,2018-10-24 13:50:00,British Airways,"179 days, 18:42:38"
AMS,LGW,2018-10-24 19:05:00,British Airways,"179 days, 23:57:38"
AMS,LGW,2018-10-25 10:55:00,British Airways,"179 days, 19:02:42"
AMS,LGW,2018-10-25 13:50:00,British Airways,"179 days, 21:57:42"
AMS,LGW,2018-10-25 19:20:00,British Airways,"180 days, 3:27:42"
AMS,LGW,2018-10-26 10:55:00,British Airways,"179 days, 21:43:02"
AMS,LGW,2018-10-26 13:55:00,British Airways,"180 days, 0:43:02"
AMS,LGW,2018-10-26 19:15:00,British Airways,"180 days, 6:03:02"
AMS,LGW,2018-10-26 21:15:00,British Airways,"180 days, 8:03:02"
AMS,LGW,2018-10-27 10:30:00,British Airways,"180 days, 0:25:05"
AMS,LGW,2018-10-27 14:15:00,British Airways,"180 days, 4:10:05"
AMS,LGW,2018-10-27 22:15:00,British Airways,"180 days, 12:10:05"
AMS,LGW,2018-10-28 10:50:00,British Airways,"180 days, 0:49:33"
AMS,LGW,2018-10-28 16:50:00,British Airways,"180 days, 6:49:33"
AMS,LGW,2018-10-28 21:40:00,British Airways,"180 days, 11:39:33"
AMS,LGW,2018-10-29 10:55:00,British Airways,"179 days, 21:09:57"
AMS,LGW,2018-10-29 14:50:00,British Airways,"180 days, 1:04:57"
AMS,LGW,2018-10-29 18:55:00,British Airways,"180 days, 5:09:57"
AMS,LGW,2018-10-30 10:55:00,British Airways,"179 days, 17:34:24"
AMS,LGW,2018-10-30 14:50:00,British Airways,"179 days, 21:29:24"
AMS,LGW,2018-10-30 18:55:00,British Airways,"180 days, 1:34:24"
AMS,LGW,2018-10-31 10:55:00,British Airways,"179 days, 23:54:39"
AMS,LGW,2018-10-31 14:50:00,British Airways,"180 days, 3:49:39"
AMS,LGW,2018-10-31 18:55:00,British Airways,"180 days, 7:54:39"
AMS,LGW,2018-11-01 10:55:00,British Airways,"179 days, 17:20:29"
AMS,LGW,2018-11-01 14:50:00,British Airways,"179 days, 21:15:29"
AMS,LGW,2018-11-01 18:55:00,British Airways,"180 days, 1:20:29"
AMS,LGW,2018-11-01 21:20:00,British Airways,"180 days, 3:45:29"
AMS,LGW,2018-11-02 10:55:00,British Airways,"179 days, 18:32:34"
AMS,LGW,2018-11-02 14:50:00,British Airways,"179 days, 22:27:34"
AMS,LGW,2018-11-02 18:55:00,British Airways,"180 days, 2:32:34"
AMS,LGW,2018-11-02 21:20:00,British Airways,"180 days, 4:57:34"
AMS,LGW,2018-11-03 10:55:00,British Airways,"179 days, 15:03:10"
AMS,LGW,2018-11-03 15:30:00,British Airways,"179 days, 19:38:10"
AMS,LGW,2018-11-03 20:45:00,British Airways,"180 days, 0:53:10"
AMS,LGW,2018-11-04 10:50:00,British Airways,"180 days, 1:25:00"
AMS,LGW,2018-11-04 16:50:00,British Airways,"180 days, 7:25:00"
AMS,LGW,2018-11-04 21:40:00,British Airways,"180 days, 12:15:00"
AMS,LGW,2018-11-05 10:55:00,British Airways,"179 days, 17:22:54"
AMS,LGW,2018-11-05 14:50:00,British Airways,"179 days, 21:17:54"
AMS,LGW,2018-11-05 18:55:00,British Airways,"180 days, 1:22:54"
AMS,LGW,2018-11-06 10:55:00,British Airways,"173 days, 21:10:18"
AMS,LGW,2018-11-06 14:50:00,British Airways,"174 days, 1:05:18"
AMS,LGW,2018-11-06 18:55:00,British Airways,"174 days, 5:10:18"
AMS,LGW,2018-11-07 10:55:00,British Airways,"174 days, 18:10:27"
AMS,LGW,2018-11-07 14:50:00,British Airways,"174 days, 22:05:27"
AMS,LGW,2018-11-07 18:55:00,British Airways,"175 days, 2:10:27"
AMS,LGW,2018-11-08 10:55:00,British Airways,"176 days, 16:10:41"
AMS,LGW,2018-11-08 14:50:00,British Airways,"176 days, 20:05:41"
AMS,LGW,2018-11-08 18:55:00,British Airways,"177 days, 0:10:41"
AMS,LGW,2018-11-08 21:20:00,British Airways,"177 days, 2:35:41"
AMS,LGW,2018-11-09 10:55:00,British Airways,"176 days, 21:44:23"
AMS,LGW,2018-11-09 14:50:00,British Airways,"177 days, 1:39:23"
AMS,LGW,2018-11-09 18:55:00,British Airways,"177 days, 5:44:23"
AMS,LGW,2018-11-09 21:20:00,British Airways,"177 days, 8:09:23"
AMS,LGW,2018-11-10 10:55:00,British Airways,"177 days, 17:12:11"
AMS,LGW,2018-11-10 15:30:00,British Airways,"177 days, 21:47:11"
AMS,LGW,2018-11-10 20:45:00,British Airways,"178 days, 3:02:11"
AMS,LGW,2018-11-11 10:50:00,British Airways,"178 days, 20:35:04"
AMS,LGW,2018-11-11 16:50:00,British Airways,"179 days, 2:35:04"
AMS,LGW,2018-11-11 21:40:00,British Airways,"179 days, 7:25:04"
AMS,LGW,2018-11-12 10:55:00,British Airways,"179 days, 18:24:53"
AMS,LGW,2018-11-12 14:50:00,British Airways,"179 days, 22:19:53"
AMS,LGW,2018-11-12 18:55:00,British Airways,"180 days, 2:24:53"
AMS,LGW,2018-11-13 10:55:00,British Airways,"179 days, 19:17:22"
AMS,LGW,2018-11-13 14:50:00,British Airways,"179 days, 23:12:22"
AMS,LGW,2018-11-13 18:55:00,British Airways,"180 days, 3:17:22"
AMS,LGW,2018-01-16 07:05:00,easyJet,12:00:51
AMS,LGW,2018-01-16 11:50:00,easyJet,16:45:51
AMS,LGW,2018-01-16 14:20:00,easyJet,19:15:51
AMS,LGW,2018-01-16 17:50:00,easyJet,22:45:51
AMS,LGW,2018-01-16 21:25:00,easyJet,"1 day, 2:20:51"
AMS,LGW,2018-01-17 07:05:00,easyJet,"1 day, 16:24:07"
AMS,LGW,2018-01-17 11:50:00,easyJet,"1 day, 21:09:07"
AMS,LGW,2018-01-17 14:20:00,easyJet,"1 day, 23:39:07"
AMS,LGW,2018-01-17 17:50:00,easyJet,"2 days, 3:09:07"
AMS,LGW,2018-01-17 21:25:00,easyJet,"2 days, 6:44:07"
AMS,LGW,2018-01-18 07:05:00,easyJet,"2 days, 11:24:15"
AMS,LGW,2018-01-18 11:50:00,easyJet,"2 days, 16:09:15"
AMS,LGW,2018-01-18 15:45:00,easyJet,"2 days, 20:04:15"
AMS,LGW,2018-01-18 17:50:00,easyJet,"2 days, 22:09:15"
AMS,LGW,2018-01-18 19:20:00,easyJet,"2 days, 23:39:15"
AMS,LGW,2018-01-18 21:25:00,easyJet,"3 days, 1:44:15"
AMS,LGW,2018-01-19 07:05:00,easyJet,"3 days, 12:07:23"
AMS,LGW,2018-01-19 09:05:00,easyJet,"3 days, 14:07:23"
AMS,LGW,2018-01-19 11:50:00,easyJet,"3 days, 16:52:23"
AMS,LGW,2018-01-19 14:20:00,easyJet,"3 days, 19:22:23"
AMS,LGW,2018-01-19 15:45:00,easyJet,"3 days, 20:47:23"
AMS,LGW,2018-01-19 17:50:00,easyJet,"3 days, 22:52:23"
AMS,LGW,2018-01-19 19:20:00,easyJet,"4 days, 0:22:23"
AMS,LGW,2018-01-19 21:25:00,easyJet,"4 days, 2:27:23"
AMS,LGW,2018-01-20 07:05:00,easyJet,"4 days, 19:01:24"
AMS,LGW,2018-01-20 09:10:00,easyJet,"4 days, 21:06:24"
AMS,LGW,2018-01-20 11:50:00,easyJet,"4 days, 23:46:24"
AMS,LGW,2018-01-20 14:20:00,easyJet,"5 days, 2:16:24"
AMS,LGW,2018-01-20 16:25:00,easyJet,"5 days, 4:21:24"
AMS,LGW,2018-01-21 07:05:00,easyJet,"5 days, 15:39:53"
AMS,LGW,2018-01-21 11:50:00,easyJet,"5 days, 20:24:53"
AMS,LGW,2018-01-21 14:20:00,easyJet,"5 days, 22:54:53"
AMS,LGW,2018-01-21 15:45:00,easyJet,"6 days, 0:19:53"
AMS,LGW,2018-01-21 17:50:00,easyJet,"6 days, 2:24:53"
AMS,LGW,2018-01-21 19:20:00,easyJet,"6 days, 3:54:53"
AMS,LGW,2018-01-21 20:30:00,easyJet,"6 days, 5:04:53"
AMS,LGW,2018-01-21 21:25:00,easyJet,"6 days, 5:59:53"
AMS,LGW,2018-01-22 07:05:00,easyJet,"6 days, 17:42:05"
AMS,LGW,2018-01-22 09:05:00,easyJet,"6 days, 19:42:05"
AMS,LGW,2018-01-22 11:50:00,easyJet,"6 days, 22:27:05"
AMS,LGW,2018-01-22 14:20:00,easyJet,"7 days, 0:57:05"
AMS,LGW,2018-01-22 15:45:00,easyJet,"7 days, 2:22:05"
AMS,LGW,2018-01-22 17:50:00,easyJet,"7 days, 4:27:05"
AMS,LGW,2018-01-22 21:25:00,easyJet,"7 days, 8:02:05"
AMS,LGW,2018-01-23 07:05:00,easyJet,"7 days, 18:13:47"
AMS,LGW,2018-01-23 11:50:00,easyJet,"7 days, 22:58:47"
AMS,LGW,2018-01-23 14:20:00,easyJet,"8 days, 1:28:47"
AMS,LGW,2018-01-23 17:50:00,easyJet,"8 days, 4:58:47"
AMS,LGW,2018-01-23 21:25:00,easyJet,"8 days, 8:33:47"
AMS,LGW,2018-01-24 07:05:00,easyJet,"8 days, 16:34:04"
AMS,LGW,2018-01-24 11:50:00,easyJet,"8 days, 21:19:04"
AMS,LGW,2018-01-24 14:20:00,easyJet,"8 days, 23:49:04"
AMS,LGW,2018-01-24 17:50:00,easyJet,"9 days, 3:19:04"
AMS,LGW,2018-01-24 21:25:00,easyJet,"9 days, 6:54:04"
AMS,LGW,2018-01-25 07:05:00,easyJet,"9 days, 21:29:50"
AMS,LGW,2018-01-25 11:50:00,easyJet,"10 days, 2:14:50"
AMS,LGW,2018-01-25 15:45:00,easyJet,"10 days, 6:09:50"
AMS,LGW,2018-01-25 17:50:00,easyJet,"10 days, 8:14:50"
AMS,LGW,2018-01-25 19:20:00,easyJet,"10 days, 9:44:50"
AMS,LGW,2018-01-25 21:25:00,easyJet,"10 days, 11:49:50"
AMS,LGW,2018-01-26 07:05:00,easyJet,"10 days, 19:37:22"
AMS,LGW,2018-01-26 09:05:00,easyJet,"10 days, 21:37:22"
AMS,LGW,2018-01-26 11:50:00,easyJet,"11 days, 0:22:22"
AMS,LGW,2018-01-26 14:20:00,easyJet,"11 days, 2:52:22"
AMS,LGW,2018-01-26 15:45:00,easyJet,"11 days, 4:17:22"
AMS,LGW,2018-01-26 17:50:00,easyJet,"11 days, 6:22:22"
AMS,LGW,2018-01-26 19:20:00,easyJet,"11 days, 7:52:22"
AMS,LGW,2018-01-26 21:25:00,easyJet,"11 days, 9:57:22"
AMS,LGW,2018-01-27 07:05:00,easyJet,"12 days, 7:22:47"
AMS,LGW,2018-01-27 09:10:00,easyJet,"12 days, 9:27:47"
AMS,LGW,2018-01-27 11:50:00,easyJet,"12 days, 12:07:47"
AMS,LGW,2018-01-27 14:20:00,easyJet,"12 days, 14:37:47"
AMS,LGW,2018-01-27 16:25:00,easyJet,"12 days, 16:42:47"
AMS,LGW,2018-01-28 07:05:00,easyJet,"12 days, 20:22:44"
AMS,LGW,2018-01-28 11:50:00,easyJet,"13 days, 1:07:44"
AMS,LGW,2018-01-28 14:20:00,easyJet,"13 days, 3:37:44"
AMS,LGW,2018-01-28 15:45:00,easyJet,"13 days, 5:02:44"
AMS,LGW,2018-01-28 17:50:00,easyJet,"13 days, 7:07:44"
AMS,LGW,2018-01-28 19:20:00,easyJet,"13 days, 8:37:44"
AMS,LGW,2018-01-28 20:30:00,easyJet,"13 days, 9:47:44"
AMS,LGW,2018-01-28 21:25:00,easyJet,"13 days, 10:42:44"
AMS,LGW,2018-01-29 07:05:00,easyJet,"13 days, 14:59:47"
AMS,LGW,2018-01-29 09:05:00,easyJet,"13 days, 16:59:47"
AMS,LGW,2018-01-29 11:50:00,easyJet,"13 days, 19:44:47"
AMS,LGW,2018-01-29 14:20:00,easyJet,"13 days, 22:14:47"
AMS,LGW,2018-01-29 15:45:00,easyJet,"13 days, 23:39:47"
AMS,LGW,2018-01-29 17:50:00,easyJet,"14 days, 1:44:47"
AMS,LGW,2018-01-29 19:20:00,easyJet,"14 days, 3:14:47"
AMS,LGW,2018-01-29 21:25:00,easyJet,"14 days, 5:19:47"
AMS,LGW,2018-01-30 07:05:00,easyJet,"14 days, 12:23:51"
AMS,LGW,2018-01-30 11:50:00,easyJet,"14 days, 17:08:51"
AMS,LGW,2018-01-30 14:20:00,easyJet,"14 days, 19:38:51"
AMS,LGW,2018-01-30 17:50:00,easyJet,"14 days, 23:08:51"
AMS,LGW,2018-01-30 21:25:00,easyJet,"15 days, 2:43:51"
AMS,LGW,2018-01-31 07:05:00,easyJet,"16 days, 7:15:12"
AMS,LGW,2018-01-31 11:50:00,easyJet,"16 days, 12:00:12"
AMS,LGW,2018-01-31 14:20:00,easyJet,"16 days, 14:30:12"
AMS,LGW,2018-01-31 17:50:00,easyJet,"16 days, 18:00:12"
AMS,LGW,2018-01-31 19:20:00,easyJet,"16 days, 19:30:12"
AMS,LGW,2018-01-31 21:25:00,easyJet,"16 days, 21:35:12"
AMS,LGW,2018-02-01 07:05:00,easyJet,"16 days, 17:44:26"
AMS,LGW,2018-02-01 09:05:00,easyJet,"16 days, 19:44:26"
AMS,LGW,2018-02-01 11:50:00,easyJet,"16 days, 22:29:26"
AMS,LGW,2018-02-01 14:20:00,easyJet,"17 days, 0:59:26"
AMS,LGW,2018-02-01 15:45:00,easyJet,"17 days, 2:24:26"
AMS,LGW,2018-02-01 17:50:00,easyJet,"17 days, 4:29:26"
AMS,LGW,2018-02-01 19:20:00,easyJet,"17 days, 5:59:26"
AMS,LGW,2018-02-01 21:25:00,easyJet,"17 days, 8:04:26"
AMS,LGW,2018-02-02 07:05:00,easyJet,"17 days, 17:47:55"
AMS,LGW,2018-02-02 09:05:00,easyJet,"17 days, 19:47:55"
AMS,LGW,2018-02-02 11:50:00,easyJet,"17 days, 22:32:55"
AMS,LGW,2018-02-02 14:20:00,easyJet,"18 days, 1:02:55"
AMS,LGW,2018-02-02 15:45:00,easyJet,"18 days, 2:27:55"
AMS,LGW,2018-02-02 17:50:00,easyJet,"18 days, 4:32:55"
AMS,LGW,2018-02-02 19:20:00,easyJet,"18 days, 6:02:55"
AMS,LGW,2018-02-02 21:25:00,easyJet,"18 days, 8:07:55"
AMS,LGW,2018-02-03 07:05:00,easyJet,"18 days, 14:40:36"
AMS,LGW,2018-02-03 09:10:00,easyJet,"18 days, 16:45:36"
AMS,LGW,2018-02-03 11:50:00,easyJet,"18 days, 19:25:36"
AMS,LGW,2018-02-03 14:20:00,easyJet,"18 days, 21:55:36"
AMS,LGW,2018-02-03 16:25:00,easyJet,"19 days, 0:00:36"
AMS,LGW,2018-02-04 07:05:00,easyJet,"19 days, 16:54:47"
AMS,LGW,2018-02-04 11:50:00,easyJet,"19 days, 21:39:47"
AMS,LGW,2018-02-04 14:20:00,easyJet,"20 days, 0:09:47"
AMS,LGW,2018-02-04 15:45:00,easyJet,"20 days, 1:34:47"
AMS,LGW,2018-02-04 17:50:00,easyJet,"20 days, 3:39:47"
AMS,LGW,2018-02-04 19:20:00,easyJet,"20 days, 5:09:47"
AMS,LGW,2018-02-04 20:30:00,easyJet,"20 days, 6:19:47"
AMS,LGW,2018-02-04 21:25:00,easyJet,"20 days, 7:14:47"
AMS,LGW,2018-02-05 07:05:00,easyJet,"20 days, 17:48:30"
AMS,LGW,2018-02-05 09:05:00,easyJet,"20 days, 19:48:30"
AMS,LGW,2018-02-05 11:50:00,easyJet,"20 days, 22:33:30"
AMS,LGW,2018-02-05 14:20:00,easyJet,"21 days, 1:03:30"
AMS,LGW,2018-02-05 15:45:00,easyJet,"21 days, 2:28:30"
AMS,LGW,2018-02-05 17:50:00,easyJet,"21 days, 4:33:30"
AMS,LGW,2018-02-05 19:20:00,easyJet,"21 days, 6:03:30"
AMS,LGW,2018-02-05 21:25:00,easyJet,"21 days, 8:08:30"
AMS,LGW,2018-02-06 07:05:00,easyJet,"21 days, 18:49:35"
AMS,LGW,2018-02-06 11:50:00,easyJet,"21 days, 23:34:35"
AMS,LGW,2018-02-06 14:20:00,easyJet,"22 days, 2:04:35"
AMS,LGW,2018-02-06 17:50:00,easyJet,"22 days, 5:34:35"
AMS,LGW,2018-02-06 19:20:00,easyJet,"22 days, 7:04:35"
AMS,LGW,2018-02-06 21:25:00,easyJet,"22 days, 9:09:35"
AMS,LGW,2018-02-07 07:05:00,easyJet,"23 days, 7:46:08"
AMS,LGW,2018-02-07 11:50:00,easyJet,"23 days, 12:31:08"
AMS,LGW,2018-02-07 14:20:00,easyJet,"23 days, 15:01:08"
AMS,LGW,2018-02-07 17:50:00,easyJet,"23 days, 18:31:08"
AMS,LGW,2018-02-07 19:20:00,easyJet,"23 days, 20:01:08"
AMS,LGW,2018-02-07 21:25:00,easyJet,"23 days, 22:06:08"
AMS,LGW,2018-02-08 07:05:00,easyJet,"23 days, 20:14:26"
AMS,LGW,2018-02-08 09:05:00,easyJet,"23 days, 22:14:26"
AMS,LGW,2018-02-08 11:50:00,easyJet,"24 days, 0:59:26"
AMS,LGW,2018-02-08 14:20:00,easyJet,"24 days, 3:29:26"
